CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	Temperature	ANXFormula	ChemicalName	PublicationYear	Quality	
24483	P m -3 m	Cs Cd Br3	Perovskite#CaTiO3	Isomorfismo, polimorfismo e morfotropia. - I. Composti del tipo A B X3	Gazzetta Chimica Italiana (1928) 58, (*) p. 472-484	293.00	ABX3	Cesium tribromocadmate	1928	-1	
24484	P m -3 m	Cs (Cd Cl3)	Perovskite#CaTiO3	Isomorfismo, polimorfismo e morfotropia. - I. Composti del tipo A B X3	Gazzetta Chimica Italiana (1928) 58, (*) p. 472-484	293.00	ABX3	Cesium trichlorocadmate	1928	-1	
25533	P b n m	Na (Ni F3)	Perovskite#GdFeO3	Struktur, Magnetismus und Reflexionsspektren von Alkali-, Ammonium- und Thallium - Nickel(II) - fluoriden	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1962) 317, (*) p. 261-287	293.00	ABX3	Sodium trifluoroniccolate	1962	-1	
26420	P n m a	Tl Mn I3	NH4CdCl3#Sn2S3	Neutron Powder Diffraction and Magnetic Measurements on Tl Mn I3 and Tl Fe I3	Journal of Solid State Chemistry (1981) 36, (*) p. 189-203	293.00	ABX3	Thallium manganese triiodide	1981	-1	
26422	P n m a	Tl Fe I3	NH4CdCl3#Sn2S3	Neutron Powder Diffraction and Magnetic Measurements on Tl Mn I3 and Tl Fe I3	Journal of Solid State Chemistry (1981) 37, (*) p. 189-203	293.00	ABX3	Thallium iron triiodide	1981	-1	
26453	P 63/m m c	Cs V I3	BaNiO3	Neutron Powder Diffraction and Magnetic Measurements on Rb Ti I3, Rb V I3, and Cs V I3	Journal of Solid State Chemistry (1981) 37, (*) p. 308-317	293.00	ABX3	Cesium triiodovanadate(II)	1981	-1	
26455	P 63 c m	Rb V I3	KNiCl3	Neutron Powder Diffraction and Magnetic Measurements on Rb Ti I3, Rb V I3, and Cs V I3	Journal of Solid State Chemistry (1981) 37, (*) p. 308-317	293.00	ABX3	Rubidium triiodovanadate(II)	1981	-1	
26457	P 63 c m	Rb Ti I3	KNiCl3	Neutron Powder Diffraction and Magnetic Measurements on Rb Ti I3, Rb V I3, and Cs V I3	Journal of Solid State Chemistry (1981) 37, (*) p. 308-317	293.00	ABX3	Rubidium triiodotitanate(II)	1981	-1	
26666	P 61 2 2	Cs Cu Cl3	CsCuCl3	The Crystal Structure of Cs Cu Cl3 and the Crystal Chemistry of Complex Halides A B X3	Journal of the Chemical Society (1947) 1947, (*) p. 1662-1670	293.00	ABX3	Cesium trichlorocuprate	1947	-1	
27689	P 4/m m m	K Cu F3	Perovskite#BaTiO3(tet)#ZnCMn3	The Structures of Potassium Trifluorocuprate(II) and Potassium Trifluorochromate(II).	Journal of the Chemical Society (1959) 1959, (*) p. 4126-4127	293.00	ABX3	Potassium trifluorocuprate	1959	-1	
27690	P 4/m m m	K (Cr F3)	Perovskite#BaTiO3(tet)#ZnCMn3	The Structures of Potassium Trifluorocuprate(II) and Potassium Trifluorochromate(II).	Journal of the Chemical Society (1959) 1959, (*) p. 4126-4127	293.00	ABX3	Potassium trifluorochromate(II)	1959	-1	
27838	P -4 3 m	Cs (Au.5 Ag.5) Cl3	Perovskite#CaTiO3	The Crystal Structure and Magnetic Susceptibility of Cesium Argentous Auric Chloride, Cs2 Ag Au Cl6, and Cesium Aurous Auric Chloride, Cs2 Au Au Cl6	Journal of Chemical Physics (1934) 2, (*) p. 419-421	293.00	ABX3	Cesium silver gold chloride *	1934	-1	
27839	P -4 3 m	Cs Au Cl3	Perovskite#CaTiO3	The Crystal Structure and Magnetic Susceptibility of Cesium Argentous Auric Chloride, Cs2 Ag Au Cl6, and Cesium Aurous Auric Chloride, Cs2 Au Au Cl6	Journal of Chemical Physics (1934) 2, (*) p. 419-421	293.00	ABX3	Cesium gold gold(III) chloride (1/0.5/0.5/3)	1934	-1	
27930	P b n m	K Mg Cl3	Perovskite#GdFeO3	Temperature dependence of the absorption spectrum of nickel(II)-doped K Mg Cl3 and the crystal structure of K Mg Cl3	Journal of Chemical Physics (1966) 45, (*) p. 4652-4664	293.00	ABX3	Potassium magnesium chloride	1966	-1	
27979	P m n b	Cs Pb I3	NH4CdCl3#Sn2S3	The structure of cesium plumbo iodide Cs Pb I3	Matematisk-Fysiske Meddelelser - Kongelige Danske Videnskabernes Selskab (1959) 32, (*) p. 1-17	293.00	ABX3	Cesium lead iodide	1959	-1	
28082	P m -3 m	Cs Sn Cl3	Perovskite#CaTiO3	Study of Cesium tin chloride Cs Sn Cl3 and Cs2 Sn Cl6	Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy (1972) 8, (*) p. 1930-1932	293.00	ABX3	Cesium tin chloride	1972	-1	
28145	P m -3 m	K V F3	Perovskite#CaTiO3	Lower valence fluorides of vanadium. 1. Synthesis and characterization of Na V F3, K V F3 and Rb V F3	Inorganic Chemistry (1977) 16, (*) p. 646-648	293.00	ABX3	Potassium vanadium(II) fluoride	1977	-1	
28146	P m -3 m	Rb V F3	Perovskite#CaTiO3	Lower valence fluorides of vanadium. 1. Synthesis and characterization of Na V F3, K V F3 and Rb V F3	Inorganic Chemistry (1977) 16, (*) p. 646-648	293.00	ABX3	Rubidium vanadium(II) fluoride	1977	-1	
28312	P m n b	Cs Pb Br3	NH4CdCl3#Sn2S3	The structure of white cesium lead(II) bromide, Cs Pb Br3	Matematisk-Fysiske Meddelelser - Kongelige Danske Videnskabernes Selskab (1966) 35, (*) p. 1-12	293.00	ABX3	Cesium lead bromide	1966	-1	
28949	P m -3 m	K Mg F3	Perovskite#CaTiO3	Fluoride Models for Oxide Systems of Dielectric Interest. The Systems K F - Mg F2 and Ag F - Zn F2	Journal of the American Chemical Society (1953) 75, (*) p. 2479-2484	293.00	ABX3	Potassium magnesium fluoride	1953	-1	
28950	P m -3 m	Ag Zn F3	Perovskite#CaTiO3	Fluoride Models for Oxide Systems of Dielectric Interest. The Systems K F - Mg F2 and Ag F - Zn F2	Journal of the American Chemical Society (1953) 75, (*) p. 2479-2484	293.00	ABX3	Silver zinc fluoride	1953	-1	
30739	P m -3 m	Cs Pb F3	Perovskite#CaTiO3	Die Systeme Alkalifluorid/Bleifluorid	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1956) 283, (*) p. 314-329	293.00	ABX3	Cesium lead fluoride - alpha	1956	-1	
31460	P m -3 m	Cs Tm Cl3	Perovskite#CaTiO3	Neue Chlor-Perowskite mit zweiwertigen Lanthaniden: Cs Ln(II) Cl3 (Ln(II)= Sm, Eu, Tm, Yb)	Naturwissenschaften (1978) 65, (*) p. 258-258	293.00	ABX3	Cesium thulium(II) chloride	1978	-1	
31461	P m -3 m	Cs Yb Cl3	Perovskite#CaTiO3	Neue Chlor-Perowskite mit zweiwertigen Lanthaniden: Cs Ln(II) Cl3 (Ln(II)= Sm, Eu, Tm, Yb)	Naturwissenschaften (1978) 65, (*) p. 258-258	293.00	ABX3	Cesium ytterbium(II) chloride	1978	-1	
31479	C 1 2/m 1	Rb Cr I3		Neutron powder diffraction on Rb Cr I3 and magnetic measurements on Rb Cr I3 and Cs Cr I3	Journal of Solid State Chemistry (1981) 38, (*) p. 199-210	293.00	ABX3	Rubidium chromium(II) iodide - beta	1981	-1	
32710	P n m a	K Mn Cl3	Perovskite#GdFeO3	Structure types and phase transformations in K Mn Cl3 and Tl Mn Cl3	Journal of Solid State Chemistry (1982) 43, (*) p. 107-125	293.00	ABX3	Potassium manganese chloride - P	1982	-1	
32711	P n m a	K Mn Cl3	NH4CdCl3#Sn2S3	Structure types and phase transformations in K Mn Cl3 and Tl Mn Cl3	Journal of Solid State Chemistry (1982) 43, (*) p. 107-125	293.00	ABX3	Potassium manganese chloride - k	1982	-1	
32712	P n m a	Tl (Mn Cl3)	NH4CdCl3#Sn2S3	Structure types and phase transformations in K Mn Cl3 and Tl Mn Cl3	Journal of Solid State Chemistry (1982) 43, (*) p. 107-125	293.00	ABX3	Thallium trichloromanganate - K	1982	-1	
33537	I 4/m c m	K Cu F3	KCuF3(tI20)	Electron-Density Distribution and Anharmonic Vibratiion in Crystals of Potassium Trifluorocuprate(II)	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1982) 38, (*) p. 1422-1427	293.00	ABX3	Potassium trifluorocuprate	1982	-1	
33552	P n a m	Rb (Cd Cl3)	NH4CdCl3#Sn2S3	Die Krystallstruktur von N H4 Cd Cl3 und Rb Cd Cl3	Recueil des Travaux Chimiques des Pays-Bas (1939) 58, (*) p. 193-200	293.00	ABX3	Rubidium trichlorocadmate	1939	-1	
33689	P 63/m m c	Rb Mg F3	BaFeO3-x	Etude par RPE de Ni2+ dans Rb Mg F3 de structure 6H	Materials Research Bulletin (1984) 19, (*) p. 751-757	293.00	ABX3	Rubidium magnesium fluoride - HT	1984	-1	
35205	P n m a	K Fe Br3	NH4CdCl3#Sn2S3	Neutron Diffraction Study of the Crystallographic and Magnetic Structures of Potassium Tribromoferrate(II)	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1982) 38, (*) p. 2771-2775	293.00	ABX3	Potassium tribromoferrate(II)	1982	-1	
35663	I 4/m c m	K Cu F3	KCuF3(tI20)	Willis Formalism of Anharmonic Temperature Factors for a General Potential and its Application in the Least-Squares Method	Acta Crystallographica, Section A: Foundations of Crystallography (1983) 39, (*) p. 631-641	293.00	ABX3	Potassium trifluorocuprate	1983	-1	
36125	P 63/m m c	Rb Mn Cl3	BaFeO3-x	Ueber die Systeme (K Cl) (Mn Cl2) und (Na Cl) (Mn Cl2) sowie die Strukturverhaeltnisse der Alkalichloromanganate (II)	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1965) 341, (*) p. 269-280	293.00	ABX3	Rubidium manganese chloride	1965	-1	
36132	P 63/m m c	Cs Cr Cl3	BaNiO3	Ueber die Systeme Alkalimetallchlorid/Chrom(II)-chlorid	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1964) 334, (*) p. 113-124	293.00	ABX3	Cesium chromium(II) chloride	1964	-1	
38302	P n m a	Na Hg Cl3		Zur Kenntnis des Natrium-trichloromercurats(II)	Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie, Biochemie, Biophysik, Biologie (1954) 9, (*) p. 82-82	293.00	ABX3	Sodium trichloromercurate(II)	1954	-1	
39807	P n m a	Tl Cd Cl3	NH4CdCl3#Sn2S3	Synthesis and crystal structures of TlCdCl3 and TlCdBr3 compounds	Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy (1993) 29, (*) p. 589-590	293.00	ABX3	Thallium cadmium chloride	1993	-1	
39808	P n m a	Tl Cd Br3	NH4CdCl3#Sn2S3	Synthesis and crystal structures of TlCdCl3 and TlCdBr3 compounds	Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy (1993) 29, (*) p. 589-590	293.00	ABX3	Thallium cadmium bromide	1993	-1	
41453	P 63/m m c	Cd Cs Br3	BaNiO3	Isotropic compression of the linear-chain perovskite-type Cd Cs Br3 up to 20 GPa	Physical Review B: Condensed Matter and Materials Physics (1990) 41, (*) p. 9276-9282	293.00	ABX3	Cadmium cesium bromide - 2H	1990	-1	
41454	P 63/m m c	Cd Cs Br3	BaNiO3	Isotropic compression of the linear-chain perovskite-type Cd Cs Br3 up to 20 GPa	Physical Review B: Condensed Matter and Materials Physics (1990) 41, (*) p. 9276-9282	293.00	ABX3	Cadmium cesium bromide - 2H	1990	-1	
41618	P 63/m m c	Rb (Zn F3)	BaFeO3-x	Raman-scattering investigation of the hexagonal perovskite Rb Zn F6	Physical Review B: Condensed Matter and Materials Physics (1995) 52, (*) p. 9129-9132	293.00	ABX3	Rubidium trifluorozincate - HT	1995	-1	
42441	P n m a	K (Mn Br3)	NH4CdCl3#Sn2S3	Ueber die Systeme Alkalimetallbromid/Mangan(II)-bromid	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1972) 391, (*) p. 302-312	293.00	ABX3	Potassium tribromomanganate(II)	1972	-1	
43457	P 4/m m m	Tl (Cu F3)	Perovskite#BaTiO3(tet)#ZnCMn3	Struktur und Magnetismus von ternaeren Kupfer(II)-Fluoriden	Naturwissenschaften (1962) 49, (*) p. 230-230	293.00	ABX3	Thallium trifluorocuprate	1962	-1	
43618	I 4/m c m	K Cu F3	KCuF3(tI20)	The crystal structure of K Cu F3	Journal of the Physical Society of Japan (1961) 16, (*) p. 176-182	293.00	ABX3	Potassium copper fluoride	1961	-1	
43721	P m -3 m	K (Mn F3)	Perovskite#CaTiO3	Ueber Fluoromanganate der Alkalimetalle	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1961) 307, (*) p. 276-289	293.00	ABX3	Potassium trifluoromanganate(II)	1961	-1	
43722	P m -3 m	Rb (Mn F3)	Perovskite#CaTiO3	Ueber Fluoromanganate der Alkalimetalle	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1961) 307, (*) p. 276-289	293.00	ABX3	Rubidium trifluoromanganate(II)	1961	-1	
44783	P m -3 m	K (Mn F3)	Perovskite#CaTiO3	Antiferromagnetism in complex fluorides with perovskite structures	Chemistry & Industry (Chichester, United Kingdom) (1956) 1956, (3) p. 83-85	293.00	ABX3	Potassium trifuoromanganate(II)	1956	-1	
44784	P m -3 m	K (Fe F3)	Perovskite#CaTiO3	Antiferromagnetism in complex fluorides with perovskite structures	Chemistry & Industry (Chichester, United Kingdom) (1956) 1956, (3) p. 83-85	293.00	ABX3	Potassium trifluoroferrate(II)	1956	-1	
44785	P m -3 m	K Co F3	Perovskite#CaTiO3	Antiferromagnetism in complex fluorides with perovskite structures	Chemistry & Industry (Chichester, United Kingdom) (1956) 1956, (3) p. 83-85	293.00	ABX3	Potassium cobalt fluoride	1956	-1	
44786	P m -3 m	K Ni F3	Perovskite#CaTiO3	Antiferromagnetism in complex fluorides with perovskite structures	Chemistry & Industry (Chichester, United Kingdom) (1956) 1956, (3) p. 83-85	293.00	ABX3	Potassium nickel fluoride	1956	-1	
44787	P m -3 m	K Zn F3	Perovskite#CaTiO3	Antiferromagnetism in complex fluorides with perovskite structures	Chemistry & Industry (Chichester, United Kingdom) (1956) 1956, (3) p. 83-85	293.00	ABX3	Potassium zinc fluoride	1956	-1	
44788	P m -3 m	K (Cd F3)	Perovskite#CaTiO3	Antiferromagnetism in complex fluorides with perovskite structures	Chemistry & Industry (Chichester, United Kingdom) (1956) 1956, (3) p. 83-85	293.00	ABX3	Potassium trifluorocadmate - HT	1956	-1	
45309	P m -3 m	Cs Ca F3	Perovskite#CaTiO3	Reactions between metal oxides and fluorides: some new double-fluoride structures of type A B F3.	Acta Crystallographica (1952) 5, (*) p. 841-841	293.00	ABX3	Cesium calcium fluoride	1952	-1	
45310	P m -3 m	Li Ba F3	Perovskite#CaTiO3	Reactions between metal oxides and fluorides: some new double-fluoride structures of type A B F3.	Acta Crystallographica (1952) 5, (*) p. 841-841	293.00	ABX3	Lithium barium fluoride	1952	-1	
49577	P m -3 m	Cs Eu F3	Perovskite#CaTiO3	Ueber die Synthese von M Ln F3 aus M Ln F4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1984) 514, (*) p. 92-98	293.00	ABX3	Cesium europium(II) fluoride - HT	1984	-1	
49578	P m -3 m	Cs Sr F3	Perovskite#CaTiO3	Ueber die Synthese von M Ln F3 aus M Ln F4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1984) 514, (*) p. 92-98	293.00	ABX3	Cesium strontium fluoride	1984	-1	
49579	P m -3 m	Cs Yb F3	Perovskite#CaTiO3	Ueber die Synthese von M Ln F3 aus M Ln F4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1984) 514, (*) p. 92-98	293.00	ABX3	Cesium ytterbium(II) fluoride	1984	-1	
49582	P m -3 m	Cs Cd F3	Perovskite#CaTiO3	Ueber die Synthese von M Ln F3 aus M Ln F4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1984) 514, (*) p. 92-98	293.00	ABX3	Cesium cadmium fluoride	1984	-1	
49583	P m -3 m	Cs Fe F3	Perovskite#CaTiO3	Ueber die Synthese von M Ln F3 aus M Ln F4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1984) 514, (*) p. 92-98	293.00	ABX3	Cesium iron fluoride	1984	-1	
49584	P m -3 m	Cs Mg F3	Perovskite#CaTiO3	Ueber die Synthese von M Ln F3 aus M Ln F4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1984) 514, (*) p. 92-98	293.00	ABX3	Cesium magnesium fluoride	1984	-1	
49585	P m -3 m	Rb Mg F3	Perovskite#CaTiO3	Ueber die Synthese von M Ln F3 aus M Ln F4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1984) 514, (*) p. 92-98	293.00	ABX3	Rubidium magnesium fluoride	1984	-1	
49586	P m -3 m	Rb Fe F3	Perovskite#CaTiO3	Ueber die Synthese von M Ln F3 aus M Ln F4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1984) 514, (*) p. 92-98	293.00	ABX3	Rubidium iron fluoride	1984	-1	
49587	P m -3 m	Rb Cd F3	Perovskite#CaTiO3	Ueber die Synthese von M Ln F3 aus M Ln F4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1984) 514, (*) p. 92-98	293.00	ABX3	Rubidium cadmium fluoride	1984	-1	
49590	P m -3 m	Rb Yb F3	Perovskite#CaTiO3	Ueber die Synthese von M Ln F3 aus M Ln F4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1984) 514, (*) p. 92-98	293.00	ABX3	Rubidium ytterbium(II) fluoride	1984	-1	
49591	P m -3 m	Rb Pb F3	Perovskite#CaTiO3	Ueber die Synthese von M Ln F3 aus M Ln F4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1984) 514, (*) p. 92-98	293.00	ABX3	Rubidium lead fluoride	1984	-1	
56096	P m -3 m	K Mg F3	Perovskite#CaTiO3	The crystal structure of Mg F2 and other compounds of this crystal type	Physica (The Hague) (1925) 5, (*) p. 162-171	293.00	ABX3	Potassium magnesium fluoride	1925	-1	
56097	P m -3 m	K Zn F3	Perovskite#CaTiO3	Geochemische Verteilungsgesetze VIII. Bau und Eigenschaften von Krystallen	Papers - Norwegian Academy of Sciences and Letters, [Section] 1: Mathematics-Natural Sciences Section (1927) 1927, (8) p. 1-156	293.00	ABX3	Potassium zinc fluoride	1927	-1	
56098	P m -3 m	K Ni F3	Perovskite#CaTiO3	Geochemische Verteilungsgesetze VIII. Bau und Eigenschaften von Krystallen	Papers - Norwegian Academy of Sciences and Letters, [Section] 1: Mathematics-Natural Sciences Section (1927) 1927, (8) p. 1-156	293.00	ABX3	Potassium nickel fluoride	1927	-1	
60611	P m -3 m	Na V F3	Perovskite#CaTiO3	The synthesis and characterization of vanadium(II)fluoride NaVF3, KVF3 and RbVF3	Materials Research Bulletin (1969) 4, (*) p. 905-912	293.00	ABX3	Sodium vanadium trifluoride	1969	-1	
61278	P 63/m m c	Cs Ni F3	BaNiO3	Structural chemistry of octahedral fluorocomplexes of the transition elements	Structure and Bonding (Berlin, Germany) (1967) 3, (*) p. 1-87	293.00	ABX3	Cesium nickel trifluoride	1967	-1	
77242	P m -3 m	Cs Ca Br3	Perovskite#CaTiO3	Ternaere Bromide und Iodide zweiwertiger Lanthanide und ihre Erdalkali-Analoga vom Typ A M X3 und A M2 X5	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1996) 622, (*) p. 759-765	293.00	ABX3	Cesium calcium bromide	1996	-1	
77243	P m -3 m	Cs Yb Br3	Perovskite#CaTiO3	Ternaere Bromide und Iodide zweiwertiger Lanthanide und ihre Erdalkali-Analoga vom Typ A M X3 und A M2 X5	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1996) 622, (*) p. 759-765	293.00	ABX3	Cesium ytterbium(II) bromide	1996	-1	
78436	P 61 2 2	Cs (Cu Cl3)	CsCuCl3	Crystal structural variation and phase transition in cesium trichlorocuprate at high pressure	Journal of Physics: Condensed Matter (1994) 6, (*) p. 3125-3136	293.00	ABX3	Cesium trichlorocuprate	1994	-1	
78437	P 61 2 2	Cs (Cu Cl3)	CsCuCl3	Crystal structural variation and phase transition in cesium trichlorocuprate at high pressure	Journal of Physics: Condensed Matter (1994) 6, (*) p. 3125-3136	293.00	ABX3	Cesium trichlorocuprate	1994	-1	
78438	P 61 2 2	Cs (Cu Cl3)	CsCuCl3	Crystal structural variation and phase transition in cesium trichlorocuprate at high pressure	Journal of Physics: Condensed Matter (1994) 6, (*) p. 3125-3136	293.00	ABX3	Cesium trichlorocuprate	1994	-1	
78439	P 61 2 2	Cs (Cu Cl3)	CsCuCl3	Crystal structural variation and phase transition in cesium trichlorocuprate at high pressure	Journal of Physics: Condensed Matter (1994) 6, (*) p. 3125-3136	293.00	ABX3	Cesium trichlorocuprate	1994	-1	
78440	P 61 2 2	Cs (Cu Cl3)	CsCuCl3	Crystal structural variation and phase transition in cesium trichlorocuprate at high pressure	Journal of Physics: Condensed Matter (1994) 6, (*) p. 3125-3136	293.00	ABX3	Cesium trichlorocuprate	1994	-1	
86314	P n m a	Rb Yb I3	NH4CdCl3#Sn2S3	Crystal structure of Rb Yb I3	Zhongguo Xitu Xuebao (1997) 15, (4) p. 246-249	293.00	ABX3	Rubidium ytterbium(II) iodide	1997	-1	
87496	P 21 21 21	K Cu F3		New superlattice crystal structure in K Cu F3 revealed by X-ray diffraction experiments	Journal of the Physical Society of Japan (1998) 67, (7) p. 2488-2494	293.00	ABX3	Potassium copper fluoride	1998	-1	
91794	P n m a	Na Mg (H1.832 F1.168)	Perovskite#GdFeO3	Structural characterization of Na Mg H2 F and Na Mg H3	Materials Research Bulletin (2000) 35, (*) p. 545-549	293.00	ABX3	Sodium magnesium hydride fluoride (1/1/1.83/1.17)	2000	-1	
94089	P m -3 m	K Mg F3	Perovskite#CaTiO3	The crystal chemistry of synthetic potassium-bearing neighborite, (Na1-x Kx) Mg F3	Physics and Chemistry of Minerals (2001) 28, (*) p. 277-284	293.00	ABX3	Potassium magnesium fluoride	2001	-1	
107514	P m -3 m	K Fe F3	Perovskite#CaTiO3	Une serie de composes fluores de type bronze: Kx Fe(3+)1-x Fe(2+)x F3	Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences (1965) 260, (*) p. 4527-4530	293.00	ABX3	Potassium iron fluoride (1/1/3) - gamma	1965	-1	
109293	P 4/m m m	Rb (Cu F3)	Perovskite#BaTiO3(tet)#ZnCMn3	Untersuchungen an ternaeren Fluoriden	Angewandte Chemie (1959) 71, (*) p. 457-457	293.00	ABX3	Rubidium trifluorocuprate	1959	-1	
109294	P 4 m m	Cs (Pb Cl3)	Perovskite#PbTiO3#BaTiO3	The structure of perovskite-like cesium plumbo trihalides	Matematisk-Fysiske Meddelelser - Kongelige Danske Videnskabernes Selskab (1959) 32, (*) p. 2-2	293.00	ABX3	Cesium trichloroplumbate	1959	-1	
109325	P 1 21/c 1	K (Cu Cl3)	KCuCl3	The determination of the crystal structure of potassium trichlorocuprate	Dissertation Abstracts (1958) 18, (*) p. 1634-1635	293.00	ABX3	Potassium trichlorocuprate	1958	-1	
155189	P 63/m m c	Tl (Co Cl3)	BaNiO3	Neutron diffraction study of distorted-triangular-lattice Ising-like antiferromagnet Tl Co Cl3	Journal of the Physical Society of Japan (2006) 75, (3)  Article ID 034707 (p. 1-8)	293.00	ABX3	Thallium trichlorocobaltate - II	2006	-1	
156156	P b n m	Na Mg F3	Perovskite#GdFeO3	Rietveld structure refinement of perovskite and post-perovskite phases of Na Mg F3 (neighborite) at high pressures	American Mineralogist (2006) 91, (*) p. 1703-1706	293.00	ABX3	Sodium magnesium fluoride - perovskite phase	2006	-1	
156157	C m c m	Na Mg F3	Pyroxene#CaIrO3	Rietveld structure refinement of perovskite and post-perovskite phases of Na Mg F3 (neighborite) at high pressures	American Mineralogist (2006) 91, (*) p. 1703-1706	293.00	ABX3	Sodium magnesium fluoride - post-perovskite phase	2006	-1	
156158	C m c 21	Na Mg F3		Rietveld structure refinement of perovskite and post-perovskite phases of Na Mg F3 (neighborite) at high pressures	American Mineralogist (2006) 91, (*) p. 1703-1706	293.00	ABX3	Sodium magnesium fluoride - post-perovskite phase	2006	-1	
158631	P m -3 m	K ((Mg0.5 Cu0.5) F3)	Perovskite#CaTiO3	A structural phase transition in K (Mg1-x Cux) F3 perovskite	Physics and Chemistry of Minerals (1996) 23, (*) p. 141-150	298.00	ABX3	Potassium copper magnesium fluoride (1/0.5/0.5/3)	1996	-1	
158632	P m -3 m	K ((Mg0.7 Cu0.3) F3)	Perovskite#CaTiO3	A structural phase transition in K (Mg1-x Cux) F3 perovskite	Physics and Chemistry of Minerals (1996) 23, (*) p. 141-150	298.00	ABX3	Potassium copper magnesium fluoride (1/0.3/0.7/3)	1996	-1	
158633	P m -3 m	K ((Mg0.9 Cu0.1) F3)	Perovskite#CaTiO3	A structural phase transition in K (Mg1-x Cux) F3 perovskite	Physics and Chemistry of Minerals (1996) 23, (*) p. 141-150	298.00	ABX3	Potassium copper magnesium fluoride (1/0.1/0.9/3)	1996	-1	
158919	P b n m	Na (Mg F3)	Perovskite#GdFeO3	A powder neutron diffraction study of the crystal structure of the fluoroperovskite Na Mg F3 (neighborite) from 300 to 3.6 K	Physics and Chemistry of Minerals (2007) 34, (*) p. 705-712	300.00	ABX3	Sodium magnesium trifluoride	2007	-1	
173944	P n m a	K Mn Cl3	NH4CdCl3#Sn2S3	Magnetic spiral structure of K Mn Cl3 - a neutron-diffraction study	Physical Review B: Condensed Matter and Materials Physics (1979) 20, (11) p. 4544-4549	300.00	ABX3	Potassium manganese chloride	1979	-1	
174041	P 63/m m c	Cs Fe Br3	BaNiO3	Structure and properties of Cs Fe Br3	Journal of the Physical Society of Japan (1974) 37, (*) p. 276-276	293.00	ABX3	Cesium iron(II) tribromide	1974	-1	
181647	P b n m	K Ca F3	Perovskite#GdFeO3	Centrosymmetric perovskite crystal structures with space group Pbnm: crystallographic parametrization of K Ca F3 between 100 and 400 K in terms of the amplitudes of symmetry-adapted basis vectors of the cubic aristotype phase	Canadian Mineralogist (2011) 49, (3) p. 793-808	300.00	ABX3	Potassium calcium trifluoride	2011	-1	
192140	P n m a	Na Ni F3	Perovskite#GdFeO3	Perovskite-to-Postperovskite Transitions in Na Ni F3 and Na Co F3 and Disproportionation of Na Co F3 Postperovskite under High Pressure and High Temperature	Inorganic Chemistry (2012) 51, (12) p. 6559-6566	293.00	ABX3	Sodium nickel trifluoride	2012	-1	
192141	C m c m	Na Ni F3	Pyroxene#CaIrO3	Perovskite-to-Postperovskite Transitions in Na Ni F3 and Na Co F3 and Disproportionation of Na Co F3 Postperovskite under High Pressure and High Temperature	Inorganic Chemistry (2012) 51, (12) p. 6559-6566	293.00	ABX3	Sodium nickel trifluoride	2012	-1	
192142	P n m a	Na Ni F3	Perovskite#GdFeO3	Perovskite-to-Postperovskite Transitions in Na Ni F3 and Na Co F3 and Disproportionation of Na Co F3 Postperovskite under High Pressure and High Temperature	Inorganic Chemistry (2012) 51, (12) p. 6559-6566	293.00	ABX3	Sodium nickel trifluoride	2012	-1	
192143	C m c m	Na Ni F3	Pyroxene#CaIrO3	Perovskite-to-Postperovskite Transitions in Na Ni F3 and Na Co F3 and Disproportionation of Na Co F3 Postperovskite under High Pressure and High Temperature	Inorganic Chemistry (2012) 51, (12) p. 6559-6566	293.00	ABX3	Sodium nickel trifluoride	2012	-1	
