CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	Temperature	ANXFormula	ChemicalName	PublicationYear	Quality	
262926	P n m a	Cs Sn I3		Cs Sn I3: semiconductor or metal? High electrical conductivity and strong near-infrared photoluminescence from a single material. High hole mobility and phase-transitions	Journal of the American Chemical Society (2012) 134, (20) p. 8579-8587	300.00	ABX3	Cesium tin triiodide	2012	10	
262927	P n m a	Cs Sn I3	NH4CdCl3#Sn2S3	Cs Sn I3: semiconductor or metal? High electrical conductivity and strong near-infrared photoluminescence from a single material. High hole mobility and phase-transitions	Journal of the American Chemical Society (2012) 134, (20) p. 8579-8587	300.00	ABX3	Cesium tin triiodide	2012	10	
263459	A m a 2	Rb Hg I3		Synthesis, crystal structure and nonlinear optical property of RbHgI3	Crystals (2017) 7, (5)  Article ID 148 (p. 1-11)	296.00	ABX3	Rubidium mercury triiodide	2017	10	
264725	P n a m	Cs Pb I3	Perovskite#GdFeO3	Cubic or orthorhombic? Revealing the crystal structure of metastable black-phase CsPbI3 by theory and experiment	ACS Energy Letters (2018) 3, (8) p. 1787-1794	293.00	ABX3	Cesium lead triiodide	2018	10	
281176	P 63 m c	Cs (Cd Br3)	CsCrBr3	A novel nonlinear optical crystal for the IR region: noncentrosymmetrically crystalline Cs Cd Br3 and its properties	Inorganic Chemistry (2003) 42, (*) p. 8-10	293.00	ABX3	Cesium tribromocadmate	2003	10	
300249	P 63/m m c	Cs (Fe Cl3)	BaNiO3	Crystal structure of cesium trichloroferrate(II)	Zeitschrift fuer Kristallographie (1993) 203, (*) p. 316-317	293.00	ABX3	Cesium trichloroferrate(II)	1993	10	
300285	P 4/m b m	Cs Dy Br3	Perovskite#NaNbO3(tP10)	Metallothermische Reduktion des Tribromids und -iodids von Dysprosium mit Alkalimetallen	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1993) 619, (*) p. 1374-1378	293.00	ABX3	Cesium dysprosium(II) bromide	1993	10	
300286	P b n m	Cs Dy I3	Perovskite#GdFeO3	Metallothermische Reduktion des Tribromids und -iodids von Dysprosium mit Alkalimetallen	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1993) 619, (*) p. 1374-1378	293.00	ABX3	Cesium dysprosium(II) iodide	1993	10	
400053	P 63/m m c	Cs Ti Br3	BaNiO3	Crystal structure cesium titanium tribromide	Zeitschrift fuer Kristallographie (1993) 208, (*) p. 370-371	293.00	ABX3	Cesium titanium(II) bromide	1993	10	
400934	P n m a	Rb (Sn I3)	NH4CdCl3#Sn2S3	Crystal structure of rubidium triiodostannate(II), Rb Sn I3	Zeitschrift fuer Kristallographie (1995) 210, (*) p. 64-64	293.00	ABX3	Rubidium triiodostannate(II)	1995	10	
402533	P n m a	In Mg Br3	NH4CdCl3#Sn2S3	Crystal structure of indium magnesium tribromide, In Mg Br3	Zeitschrift fuer Kristallographie - New Crystal Structures (1997) 212, (*) p. 5-5	293.00	ABX3	Indium(I) magnesium bromide	1997	10	
410385	P 63/m m c	Rb6 Mg6 F18	BaFeO3-x	Einkristalluntersuchungen an hexagonalen Fluorperowskiten A M F3 (MII= Mg, Mn, Fe, Co, Ni)	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1999) 625, (*) p. 637-642	293.00	ABX3	Hexarubidium hexamagnesium fluoride	1999	10	
410386	P 63/m m c	Cs6 Mn6 F18	BaFeO3-x	Einkristalluntersuchungen an hexagonalen Fluorperowskiten A M F3 (MII= Mg, Mn, Fe, Co, Ni)	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1999) 625, (*) p. 637-642	293.00	ABX3	Hexacesium hexamanganese fluoride	1999	10	
410387	P 63/m m c	Cs6 Fe6 F18	BaFeO3-x	Einkristalluntersuchungen an hexagonalen Fluorperowskiten A M F3 (MII= Mg, Mn, Fe, Co, Ni)	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1999) 625, (*) p. 637-642	293.00	ABX3	Hexacesium hexairon fluoride	1999	10	
410388	P 63/m m c	Rb6 Co6 F18	BaFeO3-x	Einkristalluntersuchungen an hexagonalen Fluorperowskiten A M F3 (MII= Mg, Mn, Fe, Co, Ni)	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1999) 625, (*) p. 637-642	293.00	ABX3	Hexarubidium hexacobalt fluoride	1999	10	
410389	R -3 m H	Cs9 Co9 F27	BaRuO3	Einkristalluntersuchungen an hexagonalen Fluorperowskiten A M F3 (MII= Mg, Mn, Fe, Co, Ni)	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1999) 625, (*) p. 637-642	293.00	ABX3	Nonacesium nonacobalt fluoride	1999	10	
410390	P 63/m m c	Rb6 Ni6 F18	BaFeO3-x	Einkristalluntersuchungen an hexagonalen Fluorperowskiten A M F3 (MII= Mg, Mn, Fe, Co, Ni)	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1999) 625, (*) p. 637-642	295.00	ABX3	Hexarubidium hexanickel fluoride	1999	10	
410392	P 63/m m c	Cs6 Ni6 F18	BaFeO3-x	Einkristalluntersuchungen an hexagonalen Fluorperowskiten A M F3 (MII= Mg, Mn, Fe, Co, Ni)	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1999) 625, (*) p. 637-642	293.00	ABX3	Hexacesium hexanickel fluoride	1999	10	
410393	R -3 m H	Cs9 Ni9 F27	BaRuO3	Einkristalluntersuchungen an hexagonalen Fluorperowskiten A M F3 (MII= Mg, Mn, Fe, Co, Ni)	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1999) 625, (*) p. 637-642	293.00	ABX3	Nonacesium nonanickel fluoride	1999	10	
410394	P 63/m m c	Cs2 Ni2 F6	BaNiO3	Einkristalluntersuchungen an hexagonalen Fluorperowskiten A M F3 (MII= Mg, Mn, Fe, Co, Ni)	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1999) 625, (*) p. 637-642	293.00	ABX3	Dicesium dinickel fluoride	1999	10	
410977	P 32	Cs (Hg Cl3)	RbNO3	Ueber Caesiumtrichloromercurat(II) Cs Hg Cl3: Loesung einer komplexen Ueberstruktur und Verhalten unter hohen Druecken	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2000) 626, (*) p. 1296-1304	293.00	ABX3	Cesium trichloromercurate	2000	10	
417372	P m -3 m	Cs Au Cl3	Perovskite#CaTiO3	Single crystal X-ray diffraction study of a mixed-valence gold compound, Cs2 Au(I) Au(III) Cl6 under high pressures up to 18 GPa: Pressure-induced phase transition coupled with gold valence transition	Journal of Solid State Chemistry (2007) 180, (4) p. 1353-1364	293.00	ABX3	Caesium gold(II) trichloride	2007	10	
417373	P 4/m m m	Cs Au Cl3	Perovskite#BaTiO3(tet)#ZnCMn3	Single crystal X-ray diffraction study of a mixed-valence gold compound, Cs2 Au(I) Au(III) Cl6 under high pressures up to 18 GPa: Pressure-induced phase transition coupled with gold valence transition	Journal of Solid State Chemistry (2007) 180, (4) p. 1353-1364	293.00	ABX3	Caesium gold(II) trichloride	2007	10	
423598	C m c m	Na Ni F3	Pyroxene#CaIrO3	High-pressure stability relations, crystal structures, and physical properties of perovskite and post-perovskite of Na Ni F3	Journal of Solid State Chemistry (2012) 191, (7) p. 167-174	300.00	ABX3	Sodium nickel trifluoride	2012	10	
423599	P b n m	Na Ni F3		High-pressure stability relations, crystal structures, and physical properties of perovskite and post-perovskite of Na Ni F3	Journal of Solid State Chemistry (2012) 191, (7) p. 167-174	300.00	ABX3	Sodium nickel trifluoride	2012	10	
434338	P b n m	Cs Pb I3	Perovskite#GdFeO3	Coherent nanotwins and dynamic disorder in cesium lead halide perovskite nanocrystals	ACS Nano (2017) 11, (4) p. 3819-3831	298.00	ABX3	Cesium lead triiodide - gamma	2017	10	
1343	P 63/m m c	Cd Cs Br3	BaNiO3	About the crystal structure of cesium cadmium tribromide and some observations on crystals of cesium cadmium trichloride	Acta Chemica Scandinavica, Series A: Physical and Inorganic Chemistry (1977) 31, (*) p. 669-672	293.00	ABX3	Cadmium cesium bromide	1977	-1	
4054	P 4/m b m	K (Mn F3)		The crystal structure of K Mn F3 AT 50 K	Journal of the Physical Society of Japan (1975) 39, (*) p. 180-186	293.00	ABX3	Potassium trifluoromanganate(II)	1975	-1	
4063	P n m a	K Fe Cl3	NH4CdCl3#Sn2S3	Neutron diffraction study of the magnetic structure of  K Fe Cl3	Physical Review  B: Solid State (1974) 9, (*) p. 1071-1076	293.00	ABX3	Potassium iron chloride	1974	-1	
4064	P n m a	K Fe Br3	NH4CdCl3#Sn2S3	Preparation and crystal structure of K Fe Cl3 and K Fe Br3	Israel Journal of Chemistry (1974) 12, (*) p. 827-830	293.00	ABX3	Potassium iron bromide	1974	-1	
4071	P m -3 m	Cs (Sn Br3)	Perovskite#CaTiO3	Effects of the presence of valence-shell non-bonding electron pairs on the properties and structures of cesium tin(II) bromides and of related antimony and tellurium compounds	Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry  (1975) 1975, (*) p. 1500-1506	293.00	ABX3	Cesium tribromostannate(II)	1975	-1	
4404	P n m a	Na Co F3	Perovskite#GdFeO3	Distorsioni cristallografiche nelle strutture A B F3. Note II. Struttura cristallina dei fluoruri doppi di sodio-cobalto Na Co F3 e sodio-nichel Na Ni F3	Ricerca Scientifica (1969) 39, (*) p. 370-385	293.00	ABX3	Sodium cobalt fluoride	1969	-1	
6047	P b n m	K Pd F3	Perovskite#GdFeO3	Ueber Fluoropalladate(II): K Pd F3, Rb Pd F3, Tl Pd F3 und K2 Pd F4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1974) 408, (*) p. 115-120	293.00	ABX3	Potassium trifluoropalladate	1974	-1	
8009	P n m a	Tl Cd I3	NH4CdCl3#Sn2S3	The structures of thallium triiodide and dirubidium iron tetraiodide	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1979) 35, (*) p. 1425-1427	293.00	ABX3	Thallium cadmium iodide	1979	-1	
9008	P n m a	Na (Ni F3)	Perovskite#GdFeO3	Distorsioni cristallografiche nelle strutture A B F3. Note II. Struttura cristallina dei fluoruri doppi di sodio-cobalto Na Co F3 e sodio-nichel Na Ni F3	Ricerca Scientifica (1969) 39, (*) p. 370-385	293.00	ABX3	Sodium trifluoroniccolate	1969	-1	
9703	P 63/m m c	Cs Mn Br3	BaNiO3	Ueber die Systeme Alkalimetallbromid/Mangan(II)-bromid	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1972) 391, (*) p. 302-312	293.00	ABX3	Cesium manganese bromide	1972	-1	
9704	P 63/m m c	Rb (Mn Br3)	BaNiO3	Ueber die Systeme Alkalimetallbromid/Mangan(II)-bromid	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1972) 391, (*) p. 302-312	293.00	ABX3	Rubidium tribromomanganate(II)	1972	-1	
10042	P 63/m m c	Cs Mn I3	BaNiO3	Investigations on systems AX/MnX2 (A= Li-Cs, Tl, X= Cl, Br, I) by DTA and X-ray analysis	Thermochimica Acta (1978) 27, (*) p. 85-93	293.00	ABX3	Cesium manganese iodide	1978	-1	
10135	P n m a	K Fe Cl3	NH4CdCl3#Sn2S3	Preparation and crystal structure of K Fe Cl3 and K Fe Br3	Israel Journal of Chemistry (1974) 12, (*) p. 827-830	293.00	ABX3	Potassium iron chloride	1974	-1	
12149	P 1 21/m 1	Rb Ge Cl3	KClO3	Die Kristallstruktur von Rb Ge Cl3	Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie (1978) 33, (*) p. 366-369	293.00	ABX3	Rubidium trichlorogermanate(II)	1978	-1	
14199	P 1 21/n 1	Cs (Sn Cl3)		Crystal structure and phase transition of cesium trichlorostannate(II)	Acta Chemica Scandinavica  (1970) 24, (*) p. 150-156	293.00	ABX3	Cesium trichlorostannate(II)	1970	-1	
15011	P 63/m m c	Rb Ni Br3	BaNiO3	The crystal structure of Rb Ni Cl3 and Rb Ni Br3	Acta Chemica Scandinavica  (1969) 23, (*) p. 2055-2060	293.00	ABX3	Rubidium nickel bromide	1969	-1	
15090	P 63/m m c	Rb Ni F3	BaFeO3-x	Untersuchungen an ternaeren Fluoriden. VI. Die Kristallstrukturen der hexagonalen Fluoroperowskite	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1969) 369, (*) p. 117-129	293.00	ABX3	Rubidium trifluoroniccolate	1969	-1	
15091	R -3 m H	Cs Co F3	BaRuO3	Untersuchungen an ternaeren Fluoriden. VI. Die Kristallstrukturen der hexagonalen Fluoroperowskite	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1969) 369, (*) p. 117-129	293.00	ABX3	Cesium trifluorocobaltate(II)	1969	-1	
15092	P 63/m m c	Cs (Ni F3)	BaNiO3	Untersuchungen an ternaeren Fluoriden. VI. Die Kristallstrukturen der hexagonalen Fluoroperowskite	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1969) 369, (*) p. 117-129	293.00	ABX3	Cesium trifluoroniccolate	1969	-1	
15168	P m -3 m	Cs (Hg F3)	Perovskite#CaTiO3	Ueber Cs Hg F3, Rb Hg F3 und K Hg F3	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1969) 369, (*) p. 212-216	293.00	ABX3	Cesium trifluoromercurate	1969	-1	
15169	P m -3 m	Rb (Hg F3)	Perovskite#CaTiO3	Ueber Cs Hg F3, Rb Hg F3 und K Hg F3	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1969) 369, (*) p. 212-216	293.00	ABX3	Rubidium trifluoromercurate	1969	-1	
15170	P n a m	K Hg F3	Perovskite#GdFeO3	Ueber Cs Hg F3, Rb Hg F3 und K Hg F3	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1969) 369, (*) p. 212-216	293.00	ABX3	Potassium mercury fluoride	1969	-1	
15423	P m -3 m	K Mn F3	Perovskite#CaTiO3	Perovskite-like fluorides. I. Structures of K Mn F3, K Fe F3, K Co F3, K Ni F3 and K Zn F3. Crystal field effects in the series and in K Cr F3 and K Cu F3	Acta Crystallographica (1961) 14, (*) p. 583-585	293.00	ABX3	Potassium manganese fluoride	1961	-1	
15424	P m -3 m	K Fe F3	Perovskite#CaTiO3	Perovskite-like fluorides. I. Structures of K Mn F3, K Fe F3, K Co F3, K Ni F3 and K Zn F3. Crystal field effects in the series and in K Cr F3 and K Cu F3	Acta Crystallographica (1961) 14, (*) p. 583-585	293.00	ABX3	Potassium iron fluoride	1961	-1	
15425	P m -3 m	K Co F3	Perovskite#CaTiO3	Perovskite-like fluorides. I. Structures of K Mn F3, K Fe F3, K Co F3, K Ni F3 and K Zn F3. Crystal field effects in the series and in K Cr F3 and K Cu F3	Acta Crystallographica (1961) 14, (*) p. 583-585	293.00	ABX3	Potassium cobalt fluoride	1961	-1	
15426	P m -3 m	K Ni F3	Perovskite#CaTiO3	Perovskite-like fluorides. I. Structures of K Mn F3, K Fe F3, K Co F3, K Ni F3 and K Zn F3. Crystal field effects in the series and in K Cr F3 and K Cu F3	Acta Crystallographica (1961) 14, (*) p. 583-585	293.00	ABX3	Potassium nickel fluoride	1961	-1	
15427	P m -3 m	K Zn F3	Perovskite#CaTiO3	Perovskite-like fluorides. I. Structures of K Mn F3, K Fe F3, K Co F3, K Ni F3 and K Zn F3. Crystal field effects in the series and in K Cr F3 and K Cu F3	Acta Crystallographica (1961) 14, (*) p. 583-585	293.00	ABX3	Potassium zinc fluoride	1961	-1	
15522	P c a n	Rb (Cu Cl3)		The cooperative Jahn-Teller distorted structure of Rb Cu Cl3	Journal of Solid State Chemistry (1981) 39, (*) p. 168-172	295.00	ABX3	Rubidium trichlorocuprate - beta	1981	-1	
15621	P n m a	Na (Mn F3)	Perovskite#GdFeO3	Distorsioni cristallografiche nelle strutture A B F3. Nota I.: Struttura cristallina di Na Mn F3	Ricerca Scientifica (1969) 39, (*) p. 21-34	293.00	ABX3	Sodium trifluoromanganate(II)	1969	-1	
15949	P 63/m m c	Cs Mn I3	BaNiO3	Neutron powder diffraction and magnetic measurements on Cs Mn I3	Journal of Solid State Chemistry (1980) 35, (*) p. 367-375	293.00	ABX3	Cesium manganese iodide	1980	-1	
16267	P 63/m m c	Rb (Ni F3)	BaFeO3-x	The crystal structure of hexagonal Rb Ni F3 (6H)	Journal of Solid State Chemistry (1970) 2, (*) p. 416-420	293.00	ABX3	Rubidium trifluoroniccolate	1970	-1	
16268	P 63/m m c	Rb (Ni F3)	BaFeO3-x	Note on the crystal structure of Rb Ni F3	Journal of Solid State Chemistry (1970) 2, (*) p. 582-584	293.00	ABX3	Rubidium trifluoroniccolate	1970	-1	
16575	P 63/m m c	Cs Cd Cl3	BaFeO3-x	The Structures of hexagonal Cs Cd Cl3 and tetragonal Cs2 Cd Cl4	Acta Crystallographica (1964) 17, (*) p. 790-790	293.00	ABX3	Cesium cadmium chloride	1964	-1	
17011	I 4/m c m	K (Cu F3)	KCuF3(tI20)	The crystal structure of K Cu F3	Journal of the Physical Society of Japan (1961) 16, (*) p. 176-183	293.00	ABX3	Potassium trifluorocuprate	1961	-1	
20570	P m -3 m	Cs Hg Cl3		New results in the crystal chemistry of the complex mercury halogen compounds	Doklady Akademii Nauk SSSR (1955) 102, (*) p. 1115-1118	293.00	ABX3	Cesium mercury chloride	1955	-1	
21105	R -3 m H	Cs Mn Cl3	BaRuO3	Neutron diffraction and magnetic structure of Cs Mn Cl3	Physical Review  B: Solid State (1971) 3, (*) p. 3873-3877	293.00	ABX3	Cesium manganese chloride	1971	-1	
23121	R 3 R	Cs (Ge Cl3)	Perovskite#CsGeCl3	A ferroelectric chloride of the perovskite type	Acta Chemica Scandinavica (1965) 19, (*) p. 421-428	298.00	ABX3	Cesium trichlorogermanate(II)	1965	-1	
23151	P m -3 m	K (Zn F3)	Perovskite#CaTiO3	Hydrothermal synthesis of monocrystals K Zn F3 with perovskite structure	Kristallografiya (1969) 14, (*) p. 377-378	293.00	ABX3	Potassium trifluorozincate	1969	-1	
23153	I 4/m c m	Rb Ag F3	KCuF3(tI20)	Fluorargentate(II) der Alkalimetalle	Monatshefte fuer Chemie (1971) 102, (*) p. 1340-1350	293.00	ABX3	Rubidium trifluoroargentate(II)	1971	-1	
23154	I 4/m c m	Cs Ag F3	KCuF3(tI20)	Fluorargentate(II) der Alkalimetalle	Monatshefte fuer Chemie (1971) 102, (*) p. 1340-1350	293.00	ABX3	Cesium trifluoroargentate(II)	1971	-1	
23155	P b n m	K Ag F3	Perovskite#GdFeO3	Fluorargentate(II) der Alkalimetalle	Monatshefte fuer Chemie (1971) 102, (*) p. 1340-1350	293.00	ABX3	Potassium trifluoroargentate(II)	1971	-1	
23381	P 63/m m c	Cs (Cr I3)	Perovskite#CsCrI3	Neutron diffraction experiments on Cs Cr I3 at 300, 77, and 1.2 K	Journal of Solid State Chemistry (1980) 34, (*) p. 65-70	300.00	ABX3	Cesium triiodochromate(II) - alpha	1980	-1	
24479	P m -3 m	Cs (Hg Br3)	Perovskite#CaTiO3	Isomorfismo, polimorfismo e morfotropia. - I. Composti del tipo A B X3	Gazzetta Chimica Italiana (1928) 58, (*) p. 472-484	293.00	ABX3	Cesium tribromomercurate	1928	-1	
24480	P m -3 m	Cs Hg Cl Br2	Perovskite#CaTiO3	Isomorfismo, polimorfismo e morfotropia. - I. Composti del tipo A B X3	Gazzetta Chimica Italiana (1928) 58, (*) p. 472-484	293.00	ABX3	Cesium chlorodibromomercurate	1928	-1	
24481	P m -3 m	Cs Hg Cl2 Br	Perovskite#CaTiO3	Isomorfismo, polimorfismo e morfotropia. - I. Composti del tipo A B X3	Gazzetta Chimica Italiana (1928) 58, (*) p. 472-484	293.00	ABX3	Cesium dichlorobromomercurate	1928	-1	
24482	P m -3 m	Cs (Hg Cl3)	Perovskite#CaTiO3	Isomorfismo, polimorfismo e morfotropia. - I. Composti del tipo A B X3	Gazzetta Chimica Italiana (1928) 58, (*) p. 472-484	293.00	ABX3	Cesium trichloromercurate	1928	-1	
